Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Trades,Taker Base Volume,Taker Quote Volume,Ignore
2020-04-17,7098.15,7140.00,6981.00,7022.44,277339.601,2020-04-17 23:59:59.999,1958075004.68818,815405,140468.709,991899745.51267,0
2020-04-18,7022.00,7290.00,7008.11,7242.42,225807.171,2020-04-18 23:59:59.999,1616702892.39814,665801,119681.739,857010922.76607,0
2020-04-19,7242.49,7258.42,7055.00,7118.03,216975.114,2020-04-19 23:59:59.999,1550386464.89985,687566,107002.397,764610435.93177,0
2020-04-20,7118.04,7208.55,6735.95,6825.29,445104.981,2020-04-20 23:59:59.999,3107676568.44843,1327875,221767.063,1548488407.85350,0
2020-04-21,6825.28,6940.00,6759.16,6838.00,288024.528,2020-04-21 23:59:59.999,1972271576.59066,927606,149431.948,1023520677.33930,0
2020-04-22,6838.00,7154.90,6812.57,7120.06,306482.163,2020-04-22 23:59:59.999,2147460698.31218,926951,164226.935,1150676739.48390,0
2020-04-23,7120.06,7802.38,7020.00,7483.35,472510.047,2020-04-23 23:59:59.999,3475717726.54963,1298970,243729.506,1792632117.30723,0
2020-04-24,7483.36,7612.91,7388.00,7504.11,278378.368,2020-04-24 23:59:59.999,2091451737.76575,808016,139206.084,1046136713.88413,0
2020-04-25,7504.62,7722.33,7433.00,7534.01,243266.807,2020-04-25 23:59:59.999,1836251609.02060,645606,125411.352,947004079.59507,0
2020-04-26,7534.01,7709.57,7476.86,7694.17,269921.936,2020-04-26 23:59:59.999,2052434573.88043,720885,139301.802,1059501231.83668,0
2020-04-27,7693.63,7795.60,7623.98,7774.00,290336.169,2020-04-27 23:59:59.999,2236759632.39633,755785,145954.546,1124812510.09474,0
2020-04-28,7774.00,7780.00,7662.49,7735.75,217652.761,2020-04-28 23:59:59.999,1679915193.12297,588167,107731.862,831740657.33503,0
2020-04-29,7735.76,8988.66,7710.00,8784.20,871197.569,2020-04-29 23:59:59.999,7297189826.77707,2033439,454524.100,3802441345.23856,0
2020-04-30,8784.05,9479.77,8400.00,8624.76,944211.711,2020-04-30 23:59:59.999,8437341148.39130,2329118,459375.562,4105891416.72819,0
2020-05-01,8623.61,9065.00,8619.84,8830.52,417820.386,2020-05-01 23:59:59.999,3680586288.10126,1303431,204405.421,1800710976.13701,0
2020-05-02,8830.52,9020.00,8755.01,8975.18,295769.728,2020-05-02 23:59:59.999,2627710360.02383,893324,145364.355,1291758148.61090,0
2020-05-03,8975.18,9200.00,8727.24,8900.00,451322.713,2020-05-03 23:59:59.999,4049513026.35921,1308158,217371.059,1950871727.83709,0
2020-05-04,8899.99,8954.94,8526.00,8873.98,440135.307,2020-05-04 23:59:59.999,3852426972.10020,1272135,218397.554,1912298849.24437,0
2020-05-05,8873.99,9118.17,8766.12,9022.78,409920.130,2020-05-05 23:59:59.999,3661156607.24140,1172631,199885.621,1785788166.15504,0
2020-05-06,9022.76,9405.00,8916.01,9148.27,507753.800,2020-05-06 23:59:59.999,4664860084.31144,1337479,249555.756,2292547393.57278,0
2020-05-07,9148.29,10080.00,9022.00,9995.00,738920.219,2020-05-07 23:59:59.999,7079465730.29004,2004469,369859.624,3544402829.58383,0
2020-05-08,9994.74,10045.03,9726.00,9807.49,458034.211,2020-05-08 23:59:59.999,4537481797.57234,1342120,222614.924,2205814933.04754,0
2020-05-09,9809.63,9923.98,9528.23,9550.67,411941.957,2020-05-09 23:59:59.999,3999406853.47510,1189983,196911.183,1912329906.77360,0
2020-05-10,9550.25,9580.00,7940.00,8719.53,842909.031,2020-05-10 23:59:59.999,7302630276.90636,2157408,410046.262,3549896289.67975,0
2020-05-11,8723.23,9164.00,8151.12,8561.09,805164.964,2020-05-11 23:59:59.999,7000184961.90937,2107410,406724.545,3537690545.23876,0
2020-05-12,8560.73,8981.00,8520.43,8808.71,369716.041,2020-05-12 23:59:59.999,3246499322.14054,1104068,189935.399,1667649738.03494,0
2020-05-13,8808.71,9397.00,8790.04,9305.91,379719.000,2020-05-13 23:59:59.999,3445913924.84949,1154539,198949.784,1805530330.19069,0
2020-05-14,9305.91,9950.00,9250.66,9786.80,602528.438,2020-05-14 23:59:59.999,5798873580.63930,1596856,306992.154,2954458974.93677,0
2020-05-15,9787.62,9843.50,9100.00,9310.73,504107.096,2020-05-15 23:59:59.999,4784027638.71762,1399261,247709.009,2351403260.26857,0
2020-05-16,9311.21,9585.00,9210.03,9374.99,287768.201,2020-05-16 23:59:59.999,2705830761.58087,918028,149815.483,1409069287.25042,0
2020-05-17,9374.99,9880.00,9317.16,9678.57,300859.340,2020-05-17 23:59:59.999,2902728542.66065,973266,156225.070,1507160587.94879,0
